,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Market_cap
0,0,CEG,Utilities,2022-05-12,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/12/constellation-energy-corporation-ceg-q1-2022-earni/,/Users/gyf/Desktop/earning call analysis/CEG/2022/Q1/,18487896064.0
1,1,DIS,Communication Services,2022-05-11,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/11/walt-disney-dis-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DIS/2022/Q2/,191619678208.0
2,2,OXY,Energy,2022-05-11,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/11/occidental-petroleum-oxy-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/OXY/2022/Q1/,63466573824.0
3,3,WELL,Real Estate,2022-05-11,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/11/welltower-well-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/WELL/2022/Q1/,40325980160.0
4,4,XRAY,Health Care,2022-05-11,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/11/dentsply-sirona-xray-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/XRAY/2022/Q1/,8243193344.0
5,5,EA,Communication Services,2022-05-11,2022,Q4,https://www.fool.com/earnings/call-transcripts/2022/05/11/electronic-arts-ea-q4-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/EA/2022/Q4/,35824873472.0
6,6,WYNN,Consumer Discretionary,2022-05-11,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/11/wynn-resorts-wynn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/WYNN/2022/Q1/,7414801920.0
7,7,SYY,Consumer Staples,2022-05-11,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/05/11/sysco-syy-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SYY/2022/Q3/,43071102976.0
8,8,NCLH,Consumer Discretionary,2022-05-10,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/10/norwegian-cruise-line-holdings-nclh-q1-2022-earnin/,/Users/gyf/Desktop/earning call analysis/NCLH/2022/Q1/,6743334912.0
9,9,TDG,Industrials,2022-05-10,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/10/transdigm-group-tdg-q2-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/TDG/2022/Q2/,29815963648.0
