,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path
1675,XOM,Energy,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/exxonmobil-xom-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/XOM/2021/Q1/
1676,CL,Consumer Staples,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/colgate-palmolive-co-cl-q1-2021-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/CL/2021/Q1/
1677,BIO,Health Care,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/bio-rad-laboratories-inc-bio-q1-2021-earnings-call/,/Users/gyf/Desktop/earning call analysis/BIO/2021/Q1/
1678,FTV,Industrials,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/fortive-corporation-ftv-q1-2021-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/FTV/2021/Q1/
1679,AJG,Financials,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/arthur-jgallagher-co-ajg-q1-2021-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/AJG/2021/Q1/
1680,DVA,Health Care,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/davita-inc-dva-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DVA/2021/Q1/
1681,TEAM,Information Technology,2021-04-30,2021,Q3,https://www.fool.com/earnings/call-transcripts/2021/04/30/atlassian-corporation-plc-team-q3-2021-earnings-ca/,/Users/gyf/Desktop/earning call analysis/TEAM/2021/Q3/
1682,SO,Utilities,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/southern-company-so-q1-2021-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/SO/2021/Q1/
1683,SGEN,Health Care,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/seattle-genetics-sgen-q1-2021-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/SGEN/2021/Q1/
1684,FBHS,Industrials,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/fortune-brands-home-security-inc-fbhs-q1-2021-earn/,/Users/gyf/Desktop/earning call analysis/FBHS/2021/Q1/
1685,DRE,Real Estate,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/duke-realty-corp-dre-q1-2021-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/DRE/2021/Q1/
1686,FTNT,Information Technology,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/fortinet-inc-ftnt-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/FTNT/2021/Q1/
1687,ORLY,Consumer Discretionary,2021-04-30,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/30/oreilly-automotive-inc-orly-q1-2021-earnings-call/,/Users/gyf/Desktop/earning call analysis/ORLY/2021/Q1/
