,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Trailing_pe
412,412,GD,Industrials,2022-01-26,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/26/general-dynamics-gd-q4-2021-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/GD/2021/Q4/,19.518536
413,413,MSFT,Information Technology,2022-01-26,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/01/26/microsoft-msft-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MSFT/2022/Q2/,29.295221
414,414,COF,Financials,2022-01-26,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/26/capital-one-financial-cof-q4-2021-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/COF/2021/Q4/,4.2690454
415,415,FFIV,Information Technology,2022-01-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/01/26/f5-networks-ffiv-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/FFIV/2022/Q1/,31.250937
416,416,LMT,Industrials,2022-01-25,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/25/lockheed-martin-lmt-q4-2021-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/LMT/2021/Q4/,20.219725
417,417,AXP,Financials,2022-01-25,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/25/american-express-axp-q4-2021-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/AXP/2021/Q4/,16.334482
418,418,MMM,Industrials,2022-01-25,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/25/3m-mmm-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MMM/2021/Q4/,14.847196
419,419,ADM,Consumer Staples,2022-01-25,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/25/archer-daniels-midland-adm-q4-2021-earnings-call-t/,/Users/gyf/Desktop/earning call analysis/ADM/2021/Q4/,18.818573
420,420,JNJ,Health Care,2022-01-25,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/25/johnson-johnson-jnj-q4-2021-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/JNJ/2021/Q4/,26.596922
421,421,RTX,Industrials,2022-01-25,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/25/raytheon-technologies-rtx-q4-2021-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/RTX/2021/Q4/,42.02727
422,422,NEE,Utilities,2022-01-25,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/25/nextera-energy-nee-q4-2021-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/NEE/2021/Q4/,114.128654
