,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Forward_pe
95,95,WDC,Information Technology,2022-04-29,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/04/29/western-digital-wdc-q3-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/WDC/2022/Q3/,6.2838573
96,96,RMD,Health Care,2022-04-28,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/04/28/resmed-rmd-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/RMD/2022/Q3/,29.983232
97,97,SGEN,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/seagen-inc-sgen-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SGEN/2022/Q1/,-116.60655
98,98,AMZN,Consumer Discretionary,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/amazon-amzn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/AMZN/2022/Q1/,43.088108
99,99,MA,Information Technology,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/mastercard-ma-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MA/2022/Q1/,31.347578
100,100,INTC,Information Technology,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/intel-intc-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/INTC/2022/Q1/,11.666216
101,101,VRSN,Information Technology,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/verisign-vrsn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/VRSN/2022/Q1/,26.753647
102,102,NOC,Industrials,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/northrop-grumman-noc-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/NOC/2022/Q1/,18.311604
103,103,LLY,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/eli-lilly-and-company-lly-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/LLY/2022/Q1/,40.116158
104,104,TMO,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/thermo-fisher-scientific-tmo-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/TMO/2022/Q1/,24.81178
105,105,LH,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/laboratory-corporation-of-america-lh-q1-2022-earni/,/Users/gyf/Desktop/earning call analysis/LH/2022/Q1/,13.885143
106,106,MO,Consumer Staples,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/altria-group-mo-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MO/2022/Q1/,11.15528
107,107,PHM,Consumer Discretionary,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/pultegroup-phm-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PHM/2022/Q1/,4.654645
108,108,IRM,Real Estate,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/iron-mountain-irm-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/IRM/2022/Q1/,32.20909
109,109,SIRI,Communication Services,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/sirius-xm-holdings-inc-siri-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/SIRI/2022/Q1/,18.030588
110,110,MRK,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/merck-co-mrk-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MRK/2022/Q1/,12.615123
111,111,TXT,Industrials,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/textron-txt-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/TXT/2022/Q1/,14.354545
112,112,LKQ,Consumer Discretionary,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/lkq-lkq-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/LKQ/2022/Q1/,11.943794
113,113,RTX,Industrials,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/raytheon-technologies-rtx-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/RTX/2022/Q1/,16.00518
114,114,EQIX,Real Estate,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/equinix-eqix-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/EQIX/2022/Q1/,70.89083
115,115,APH,Information Technology,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/amphenol-aph-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/APH/2022/Q1/,22.77705
116,116,LVS,Consumer Discretionary,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/las-vegas-sands-lvs-q1-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/LVS/2022/Q1/,17.287565
117,117,ALGN,Health Care,2022-04-28,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/28/align-technology-algn-q1-2022-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/ALGN/2022/Q1/,20.526825
118,118,QCOM,Information Technology,2022-04-27,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/04/27/qualcomm-qcom-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/QCOM/2022/Q2/,11.524055
119,119,F,Consumer Discretionary,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/ford-f-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/F/2022/Q1/,6.560302
120,120,HOLX,Health Care,2022-04-27,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/04/27/hologic-holx-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/HOLX/2022/Q2/,20.02584
121,121,FB,Communication Services,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/meta-platforms-inc-fb-q1-2022-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/FB/2022/Q1/,14.081519
122,122,ODFL,Industrials,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/old-dominion-freight-line-odfl-q1-2022-earnings-ca/,/Users/gyf/Desktop/earning call analysis/ODFL/2022/Q1/,25.499516
123,123,IEX,Industrials,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/idex-iex-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/IEX/2022/Q1/,26.462196
124,124,ROL,Industrials,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/rollins-rol-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ROL/2022/Q1/,45.789474
125,125,BA,Industrials,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/boeing-ba-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/BA/2022/Q1/,26.325628
126,126,AMT,Real Estate,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/american-tower-amt-q1-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/AMT/2022/Q1/,42.29121
127,127,IQV,Health Care,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/iqvia-holdings-inc-iqv-q1-2022-earnings-call-trans/,/Users/gyf/Desktop/earning call analysis/IQV/2022/Q1/,17.811102
128,128,FISV,Information Technology,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/fiserv-fisv-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/FISV/2022/Q1/,12.955586
129,129,BSX,Health Care,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/boston-scientific-bsx-q1-2022-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/BSX/2022/Q1/,19.830847
130,130,TMUS,Communication Services,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/t-mobile-us-tmus-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/TMUS/2022/Q1/,20.441034
131,131,STX,Information Technology,2022-04-27,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/04/27/seagate-technology-holdings-plc-stx-q3-2022-earnin/,/Users/gyf/Desktop/earning call analysis/STX/2022/Q3/,8.992392
132,132,GD,Industrials,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/general-dynamics-gd-q1-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/GD/2022/Q1/,16.082094
133,133,ROP,Industrials,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/roper-technologies-rop-q1-2022-earnings-call-trans/,/Users/gyf/Desktop/earning call analysis/ROP/2022/Q1/,25.622395
134,134,V,Information Technology,2022-04-27,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/04/27/visa-v-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/V/2022/Q2/,23.625298
135,135,EW,Health Care,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/edwards-lifesciences-ew-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/EW/2022/Q1/,33.785965
136,136,ENPH,Information Technology,2022-04-27,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/27/enphase-energy-inc-enph-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/ENPH/2022/Q1/,35.978676
137,137,FFIV,Information Technology,2022-04-26,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/04/26/f5-networks-ffiv-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/FFIV/2022/Q2/,12.650607
138,138,GM,Consumer Discretionary,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/general-motors-gm-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/GM/2022/Q1/,5.4187407
139,139,MSFT,Information Technology,2022-04-26,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/04/26/microsoft-msft-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MSFT/2022/Q3/,24.87002
140,140,COF,Financials,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/capital-one-financial-cof-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/COF/2022/Q1/,5.918177
141,141,ECL,Materials,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/ecolab-ecl-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ECL/2022/Q1/,26.738695
142,142,VLO,Energy,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/valero-energy-vlo-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/VLO/2022/Q1/,21.410685
143,143,MSCI,Financials,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/msci-msci-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MSCI/2022/Q1/,35.913006
144,144,MMM,Industrials,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/3m-mmm-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MMM/2022/Q1/,14.4570875
145,145,ADM,Consumer Staples,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/archer-daniels-midland-adm-q1-2022-earnings-call-t/,/Users/gyf/Desktop/earning call analysis/ADM/2022/Q1/,18.2364
146,146,CNC,Health Care,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/centene-cnc-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/CNC/2022/Q1/,15.610092
147,147,GLW,Information Technology,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/corning-glw-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/GLW/2022/Q1/,13.283019
148,148,UPS,Industrials,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/united-parcel-service-ups-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/UPS/2022/Q1/,13.462976
149,149,DHI,Consumer Discretionary,2022-04-26,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/04/26/dr-horton-dhi-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DHI/2022/Q2/,3.924524
150,150,WM,Industrials,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/waste-management-wm-q1-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/WM/2022/Q1/,25.37681
151,151,GE,Industrials,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/general-electric-ge-q1-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/GE/2022/Q1/,15.558332
152,152,KMI,Energy,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/kinder-morgan-kmi-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/KMI/2022/Q1/,16.73707
153,153,CCI,Real Estate,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/crown-castle-international-cci-q1-2022-earnings-ca/,/Users/gyf/Desktop/earning call analysis/CCI/2022/Q1/,42.308155
154,154,ZION,Financials,2022-04-26,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/26/zions-bancorporation-zion-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/ZION/2022/Q1/,8.311164
155,155,KO,Consumer Staples,2022-04-25,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/25/coca-cola-ko-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/KO/2022/Q1/,25.026514
156,156,PPG,Materials,2022-04-25,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/25/ppg-industries-ppg-q1-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/PPG/2022/Q1/,13.819657
157,157,SIVB,Financials,2022-04-25,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/25/svb-financial-group-sivb-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/SIVB/2022/Q1/,14.623645
158,158,RF,Financials,2022-04-22,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/22/regions-financial-rf-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/RF/2022/Q1/,9.521739
159,159,HCA,Health Care,2022-04-22,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/22/hca-healthcare-hca-q1-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/HCA/2022/Q1/,11.406149
160,160,KMB,Consumer Staples,2022-04-22,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/22/kimberly-clark-kmb-q1-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/KMB/2022/Q1/,20.582222
161,161,SLB,Energy,2022-04-22,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/22/schlumberger-slb-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SLB/2022/Q1/,25.932516
162,162,AXP,Financials,2022-04-22,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/22/american-express-axp-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/AXP/2022/Q1/,16.161324
163,163,ISRG,Health Care,2022-04-21,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/21/intuitive-surgical-isrg-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/ISRG/2022/Q1/,39.43806
164,164,HBAN,Financials,2022-04-21,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/21/huntington-bancshares-hban-q1-2022-earnings-call-t/,/Users/gyf/Desktop/earning call analysis/HBAN/2022/Q1/,9.269784
165,165,AAL,Industrials,2022-04-21,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/21/american-airlines-group-aal-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/AAL/2022/Q1/,7.49095
166,166,ALK,Industrials,2022-04-21,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/21/alaska-air-group-alk-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/ALK/2022/Q1/,6.858859
